Date,Start_Time,End_Time,Sensor Setup
26.11.2019,10:32,12:32,S1
26.11.2019,12:45,16:43,S2
26.11.2019,16:43,17:07,S3
26.11.2019,17:07,17:35,S4
26.11.2019,17:36,18:04,S6
26.11.2019,18:04,23:59,S1
27.11.2019,0:00,8:00,S1
27.11.2019,9:13,10:04,S1
27.11.2019,10:04,10:20,S2
27.11.2019,10:20,10:44,S3
27.11.2019,10:44,11:25,S4
27.11.2019,11:25,23:59,S5
28.11.2019,0:00,8:00,S5
28.11.2019,8:00,8:25,S5
28.11.2019,8:25,9:39,S4
28.11.2019,9:40,11:48,S5
28.11.2019,11:48,14:00,S4
28.11.2019,14:00,16:08,S5
28.11.2019,16:08,16:57,S4
28.11.2019,16:57,17:14,S3
28.11.2019,17:14,17:31,S6
28.11.2019,17:31,17:46,S2
28.11.2019,17:46,23:59,S1
29.11.2019,0:00,8:48,S1
29.11.2019,8:48,9:33,S5
